,Title,Company,Location,Date Posted,Summary,Job Link
1496,DIGITAL FILE COORDINATOR,Absolute Dental Services Inc,"Durham, NC 27707",PostedPosted 29 days ago,"Full time opening is available for a Digital File Clerk to join a stable and growing dental laboratory in the Durham, NC area that has built a reputation for…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=879eaf59214fa12b
1497,Registered Dental Hygienist,Patel Dental and Implants,"Graham, NC 27253",PostedToday,Job Overview: We are seeking a skilled Dental Hygienist to join our team. The ideal candidate will provide quality oral care and hygiene services to our…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=5dfca41c99405f3d
1498,Dental Assistant - DAI/DAII ENDO OFFICE,North Carolina Endodontics,"Chapel Hill, NC 27514",EmployerActive 3 days ago,"North Carolina Endodontics, a private endodontic practice, is offering a great opportunity for a friendly, enthusiastic, reliable, Dental Assistant who loves…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=ea7b2df2e2bfea66
1499,Part-time RDH,Dental Wellness of Greensboro,"Greensboro, NC 27408",EmployerActive 3 days ago,"Are you looking for a stable, fun and enjoyable work team? Is temping becoming too stressful? Do you miss building long term relationships with patients? Dr…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=97570eb77c8f2ac2
1500,Dental Assistant,Dentalworks,"Winston-Salem, NC 27103",EmployerActive 17 days ago,"```Job Overview:``` Dental office seeking an experienced, bilingual dental assistant. If you are a team player with excellent communication skills, attention…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=0c38cc15e23bf716
1501,Dental Assistant,Renaissance Family Dentistry,"Durham, NC 27713",EmployerActive 3 days ago,Renaissance Family Dentistry Immediate Job Opening: Dental Assistant **Please call or email to schedule a phone/personal interview. Location: 5832…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=4e4aca428280a64d
1502,Administrative Support,Absolute Dental Services Inc,"Durham, NC 27707",PostedPosted 30+ days ago,Full time opening is available on our Administrative Customer Service team to join a stable and growing private organization in the dental laboratory industry…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=13265819f7ab8f97
1503,Registered Dental Hygienist,Jesse A. Grimm DDS PA,"Kernersville, NC 27284",EmployerActive 3 days ago,"About us At Jesse A. Grimm DDS, PA, we are committed to providing exceptional dental care to our community. With a focus on family, cosmetic, and general…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=fef6b2d53d00452c
1504,DAII - Pediatric Dental Assistant,Southern Dental Associates,"Lewisville, NC 27023",EmployerActive 9 days ago,Southern Dental Associates of Lewisville is a Multi-Specialty dental practice seeking a DAII to join our pediatric clinical team. We are looking for an…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=1da0e17fa805709a
1505,Dental Hygienist (Part-time),"Denise A. Perrotta, DMD","Winston-Salem, NC 27103",PostedPosted 1 day ago,"Experience in preparing and maintaining dental equipment.
Give instructions to patients after operations or other dental procedures.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=77df8168f5349e8c
1506,Marketing Manager,Absolute Dental Services Inc,"Durham, NC 27707",PostedPosted 27 days ago,"We are seeking a detail-oriented individual with experience in project management, Excel proficiency, and a passion for nurturing client relationships.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=cdef9cb66ee0944d
1507,Dental Hygienist,Welden Village Dental,"Kernersville, NC 27284",EmployerActive 10 days ago,"Maintain patient records, dental instruments and equipment.
Our patient-focused dental office is looking for a dedicated, professional and compassionate…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=23834c36b1ecbeee
1508,Dental Chairside Assistant,Creative Kids Pediatric Dentistry,"Winston-Salem, NC 27106",EmployerActive 6 days ago,"Tues (8-4), Wed (8-4), Thurs (8-4), Fri (8-2).
GUARANTEED 3 weeks vacation each year after first 90 days!!!
COMPETITIVE PAY based on experience, beginning at …",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=49427f5036d82726
1509,Dental Hygienist,North Point Dental Associates,"High Point, NC 27265",EmployerActive 3 days ago,"Mon&Wed: 9 AM-5 PM.
Tues&Thurs: 8 AM-4 PM.
Busy two doctor private practice with three hygienists.
Fully paperless and digital with Dentrix software, CEREC in…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=3267136058c381d1
1510,Dental Front Office Staff,Gladwell Orthodontics,"Durham, NC 27713",PostedPosted 5 days ago,"Knowledge of dental software strongly preferred.
A minimum of two years of front office experience preferably in a dental setting.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=4e902e1e802fdb2c
1511,Temporary Dental Hygienist,Ashlen Staffing Solutions,"Summerfield, NC 27358",PostedPosted 30+ days ago,"Familiarity with digital dental records and modern dental technology.
2+ years of experience in dental hygiene.
February 22 to March 1 (2 weeks).",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=7eecb297beea0859
1512,Practice Manager of Operations,Smith Crossing Dental Care,"Kernersville, NC 27284",PostedPosted 1 day ago,"Dentrix or other dental software experience.
1+ years of experience in a dental or medical setting.
Strive towards mastery of role by prioritizing and…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=25bbfdea9e61df53
1513,Dental Assistant II,Kintegra Health,"Asheboro, NC 27203",PostedPosted 30+ days ago,"Update/maintain patient dental records accurately in the electronic dental record (EDR).
The role of the DA II is a nonexempt position responsible for…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=bc8b57d7edba868e
1514,Registered Dental Hygienist,my dentaville,"Lexington, NC 27292",EmployerActive 10 days ago,"Prepares patients for dental hygiene treatment with a welcoming manner.
Perform dental prophylaxis by cleaning deposits and strains from teeth and from beneath…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=eae2dcb7e14b4baf
1515,Registered Dental Hygienist,"Daniel Siceloff, DDS","Lexington, NC 27295",EmployerActive 3 days ago,"Current valid NC Dental Hygiene License, Diploma in Dental Hygiene, proven experience in the dental field, in-depth knowledge of health and safety regulations…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=4f6f8243e27af14a
1516,Full Time Dental Assistant 1,Diadem Family Dental,"Durham, NC 27704",EmployerActive 3 days ago,Our growing Durham office is currently in need of a Full Time DA 1 who can provide a wonderful patient experience for our growing patient base.,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=79b1766e2c90a829
1517,Registered Dental Hygienist,Chapel Hill Dental Group,"Chapel Hill, NC 27514",EmployerActive 3 days ago,"RDH's typically see 8 patients per day in one hour time slots.
We're currently looking for a part time hygienist moving towards full time.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=21d93c89b5301a02
1518,Dental Assistant,West Edge Dental Care,"Winston-Salem, NC 27106",PostedPosted 9 days ago,"Listening to patient’s needs and educating them on dental procedures.
Support clinical treatment care of patients.
Organize and maintain lab equipment.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=e2e05843f1cc5128
1519,Registered Dental Hygienist,"Jonathan Hunt, DDS, PLLC","High Point, NC",EmployerActive 3 days ago,"Valid state dental hygiene license.
Knowledge of dental office procedures and terminology.
Strong understanding of dental anatomy and oral health conditions.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=56ff4692b05351e8
1520,Dental Assistant II,Dr. McClary & Associates III PA,"Salisbury, NC 28144",EmployerActive 3 days ago,"We are looking for a highly skilled and experienced dental assistants.
Must have completed a dental assistant program or have equivalent work experience.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=fe5076d04055a93d
1521,Oral Surgery Assistant,Oral and Maxillofacial Surgery Associates,"Chapel Hill, NC 27514",PostedPosted 30+ days ago,"We are a fast-paced oral surgery office looking for a motivated individual to join our team as an Oral Surgery Assistant.
Pay: $21.00 - $25.00 per hour.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=47cfc169fc1e2dd7
1522,Dental Assistant,Beyond Dental,"Durham, NC 27707",PostedPosted 30+ days ago,"Beyond dental is looking for an outstanding dental assistant to join our team in providing ideal dentistry to our patients in an enjoyable, fun atmosphere.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=af990c78f4b88f43
1523,Associate Dentist,Family Dental Associates,"Eden, NC 27288",EmployerActive 6 days ago,"Great opportunity for a GENERAL DENTIST to practice in small town 30 minutes north of Greensboro.
Perfect central NC location, 2 hours drive to beach or…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=46192f73e7bbde73
1524,General Dentist Associate,Lyndhurst Dental Associates,"Winston-Salem, NC 27103",EmployerActive 4 days ago,"If you love endodontics and are trained in dental implants, your scheduled production will skyrocket as we will keep those procedures in-house.**.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=8edc5816b9aabcbf
1525,Dental Hygienist,Steinbicker Family Dentistry,"Mebane, NC 27302",EmployerActive 7 days ago,"Steinbicker Family Dentistry is located in Mebane, NC and is seeking a registered dental hygienist to join our dental team!
Pay: $50.00 - $60.00 per hour.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=4b2eaf5ecbc8f7b8
1526,CERAMIST,Absolute Dental Services Inc,"Durham, NC 27707",PostedPosted 30+ days ago,"Absolute Dental Lab specializes in fixed dental prosthetics with an emphasis on dental implant restorations.
Experience with Miyo is a plus.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=97124c9da7198f93
1527,Registered Dental Hygienist,Town Creek Dental,"Salisbury, NC",EmployerActive 3 days ago,"Graduation from an accredited dental hygiene program.
Ability to work collaboratively as part of a dental team.
Excellent written and oral communication skills.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=a52787f13dd204f1
1528,Dental Patient Coordinator Bilingual,H&L Dentistry,"Durham, NC 27707",EmployerActive 3 days ago,"Familiarity with dental receptionist duties and dental office procedures is a plus.
This position requires previous dental experience.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=cfa3e3e821a55305
1529,Associate Dentist,Twin City Dentistry,"Winston-Salem, NC 27103 (Ardmore area)",EmployerActive 11 days ago,"Conduct routine dental examinations and cleanings.
Valid state dental license in good standing.
Our dental practice has been serving the community since 1962.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=2b84499d825be9a1
1530,DENTAL ASSISTANT needed,Crafting Smiles,"Durham, NC 27704 (Stadium Heights area)",EmployerActive 4 days ago,"Prepare patients for dental examinations and treatments by seating them comfortably and obtaining their dental records.
High school diploma or equivalent.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=f685396d11de6c47
1531,Dental Hygienist,Dental Implant Center of the Carolinas,"Winston-Salem, NC 27104 (South Fork area)",EmployerActive 3 days ago,"Graduation from an accredited dental hygiene program.
Valid dental hygiene license in [state].
Proficiency in using Eaglesoft or similar dental software systems…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=cef2b45df52dc061
1532,Full-time Dental Hygienist,Warren Dental Center,"Winston-Salem, NC 27101",PostedPosted 30+ days ago,"Dental hygienist: 2 years (Preferred).
We are a Dental office looking for a full time Dental Hygienist.
We have a great team with wonderful patients.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=c8323943d3033bb8
1533,Periodontist,Punkd Dental Careers,"Salisbury, NC",PostedPosted 30+ days ago,"Looking for a periodontist with an interested in a pathway to ownership.
Located in the Central Piedmont of North Carolina in the Charlotte metropolitan area;…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=e299034acf0dd605
1534,Dental Assistant I,Night and Day Dental,"Durham, NC 27704",PostedPosted 2 days ago,Our 10 locations throughout North Carolina are owned and operated by dental providers committed to an impressive workplace for dental providers.,https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=b5c2da2602006b4d
1535,Registered Dental Hygienist,Southern Dental Associates,"Lewisville, NC 27023",EmployerActive 14 days ago,"Familiarity with coding for dental procedures.
Experience working in a dental office setting.
Proficiency in Dentrix or similar dental practice management…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=a1995807feba75c4
1536,Dental Hygienist,Night and Day Dental,"Greensboro, NC 27403",EmployerActive 3 days ago,"Night & Day Dental is looking for an enthusiastic, patient centric, Dental Hygienist, who is focused on providing patients with the most advanced comprehensive…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=41bd6db37ac67524
1537,Registered Dental Hygienist,Duke Campus Dental Office,"Durham, NC 27710 (Duke West Campus area)",EmployerActive 3 days ago,"Assessing dental needs of the patient.
Competitive compensation and growth opportunities unique to the dental industry are available.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=1530ff6058db6ebc
1538,Pediatric Dental Assistant,Southpoint Pediatric Dentistry,"Durham, NC 27713 (Crooked Creek area)",EmployerActive 9 days ago,"We are a thriving pediatric dental practice in Durham, NC, seeking a full-time pediatric dental assistant.
Previous experience in a pediatric dental office is…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=3fbf12014deea825
1539,PTB OFFICE SUPERVISOR V - DENTAL Job #652-1,Rowan County Government,"Salisbury, NC 28144",EmployerActive 3 days ago,"Benefits include health, dental, vision, retirement, 401K, flexible spending, paid holidays, employee discounts, and more.
Must have good computer skills.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=dcf3820ff340fb3c
1540,Dental Assistant,Kids Dental Brands,"Greensboro, NC 27406",PostedPosted 6 days ago,"Take and process dental radiographs (x-rays).
Help patients feel comfortable before, during, and after dental treatment.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Greensboro%2C+NC&radius=50&vjk=34ecdc7ba47b2569&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&l=Greensboro%2C+NC&radius=50&vjk=020d9379f4b54228
